clinica_id,numero_ordenes,gasto_total,gasto_promedio,tiempo_promedio_fabricacion,porcentaje_urgentes,diversidad_tipos_trabajo,tipo_trabajo_principal,porcentaje_canal_digital,distancia_clinica_laboratorio,antiguedad_meses,retraso_promedio,porcentaje_ordenes_con_reproceso
Clínica 34,32,15217441,475545.03,10.56,9.38,5,Carilla,65.62,39.7,25,2.03,9.38
Clínica 35,30,16703580,556786.0,10.23,23.33,6,Corona,70.0,38.0,64,1.87,10.0
Clínica 36,15,7887464,525830.93,10.16,33.33,5,Carilla,73.33,49.7,74,1.07,33.33
Clínica 37,15,5995988,399732.53,8.76,13.33,5,Corona,73.33,32.5,30,0.73,20.0
Clínica 38,4,3470391,867597.75,16.05,75.0,3,Puente,25.0,54.8,29,1.75,25.0
Clínica 39,39,13852604,355194.97,7.11,10.26,5,Carilla,82.05,25.5,8,0.69,7.69
Clínica 40,35,21097859,602795.97,11.52,28.57,6,Corona,88.57,17.9,38,1.03,8.57
Clínica 41,44,13642259,310051.34,7.54,9.09,6,Carilla,75.0,31.6,11,1.64,11.36
Clínica 42,12,9957554,829796.17,13.19,50.0,5,Corona,75.0,55.4,50,2.08,25.0
Clínica 43,46,13750833,298931.15,7.77,8.7,5,Carilla,76.09,43.7,59,0.85,2.17
Clínica 44,20,12031323,601566.15,14.49,50.0,4,Puente,60.0,30.1,50,1.55,5.0
Clínica 45,43,15317454,356219.86,7.34,20.93,4,Carilla,83.72,30.4,53,1.3,11.63
Clínica 46,38,12281796,323205.16,6.83,2.63,4,Carilla,81.58,39.3,52,0.76,7.89
Clínica 47,38,17802075,468475.66,11.3,7.89,6,Prótesis parcial,86.84,27.4,76,0.87,13.16
Clínica 48,14,5029270,359233.57,9.16,14.29,5,Carilla,100.0,33.5,47,2.14,35.71
Clínica 49,38,19609266,516033.32,11.8,36.84,6,Corona,89.47,58.3,73,1.39,10.53
Clínica 50,31,17359250,559975.81,11.44,29.03,6,Corona,74.19,56.0,33,1.55,9.68
Clínica 51,35,19014433,543269.51,9.89,17.14,6,Corona,71.43,50.6,16,2.37,8.57
Clínica 52,9,6115022,679446.89,14.99,44.44,4,Prótesis total,88.89,8.5,23,0.78,11.11
Clínica 53,44,13312747,302562.43,7.32,2.27,4,Corona,81.82,33.8,67,1.36,11.36
Clínica 54,21,12234225,582582.14,12.86,52.38,6,Prótesis parcial,76.19,22.6,23,1.81,14.29
Clínica 55,34,19089393,561452.74,11.36,14.71,6,Corona,61.76,54.8,66,2.12,5.88
Clínica 56,43,15342160,356794.42,7.72,11.63,6,Carilla,74.42,19.5,76,0.86,4.65
Clínica 57,34,11404870,335437.35,7.89,5.88,6,Carilla,82.35,55.9,48,1.82,5.88
Clínica 58,48,20170495,420218.65,10.14,16.67,6,Corona,77.08,15.1,17,0.52,6.25
Clínica 59,43,12048952,280208.19,6.61,2.33,5,Corona,76.74,25.8,54,0.65,9.3
Clínica 60,40,24818289,620457.22,11.46,27.5,6,Puente,80.0,57.6,35,1.9,7.5
Clínica 61,37,16170303,437035.22,10.91,5.41,6,Corona,72.97,36.1,76,0.92,8.11
Clínica 62,12,5670914,472576.17,11.18,50.0,5,Corona,100.0,56.0,23,2.08,16.67
Clínica 63,10,5973064,597306.4,13.58,40.0,5,Prótesis parcial,80.0,32.8,24,2.2,0.0
Clínica 64,9,5245363,582818.11,12.99,44.44,5,Puente,44.44,14.5,43,1.56,0.0
Clínica 65,10,6083165,608316.5,11.08,40.0,5,Puente,90.0,43.1,44,1.7,30.0
Clínica 66,42,26450350,629770.24,10.89,7.14,6,Incrustación,80.95,31.8,20,0.98,26.19
Clínica 67,32,16024709,500772.16,12.11,25.0,6,Puente,90.62,30.8,35,1.06,15.62
Clínica 68,7,5124962,732137.43,7.81,28.57,4,Corona,71.43,9.1,58,2.57,42.86
Clínica 69,48,24851431,517738.15,10.01,18.75,6,Carilla,89.58,9.6,42,0.38,16.67
Clínica 70,10,5551103,555110.3,9.85,20.0,4,Carilla,60.0,55.8,10,2.6,30.0
Clínica 71,15,9867873,657858.2,12.21,60.0,5,Corona,80.0,57.4,38,1.33,20.0
Clínica 72,41,24620283,600494.71,12.13,14.63,6,Puente,90.24,58.0,38,1.78,24.39
Clínica 73,14,11008465,786318.93,12.66,14.29,5,Prótesis parcial,85.71,22.1,40,-0.14,42.86
Clínica 74,9,5486421,609602.33,14.94,66.67,5,Prótesis parcial,100.0,3.7,7,1.78,0.0
Clínica 75,30,16395720,546524.0,9.56,13.33,5,Carilla,83.33,33.7,27,1.37,6.67
Clínica 76,25,17573739,702949.56,14.36,56.0,5,Prótesis parcial,84.0,44.4,80,1.2,12.0
Clínica 77,14,5761957,411568.36,11.84,50.0,6,Prótesis parcial,64.29,39.2,74,1.14,14.29
Clínica 78,49,15924504,324989.88,6.34,8.16,4,Corona,79.59,4.1,79,0.31,6.12
Clínica 79,52,18532306,356390.5,7.19,9.62,5,Corona,78.85,14.7,65,0.75,7.69
Clínica 80,38,25110509,660802.87,13.14,21.05,6,Puente,81.58,42.6,39,1.95,7.89
